Degree,M,Trial,WeakError
3,2000,0,3.245391e-02
3,2000,1,6.799262e-03
3,2000,2,4.096806e-02
3,2000,3,9.797523e-03
3,2000,4,1.083210e-02
3,2000,5,6.597109e-02
3,2000,6,6.622604e-02
3,2000,7,4.690970e-02
3,2000,8,5.090574e-02
3,2000,9,2.475366e-02
3,4000,0,1.331981e-02
3,4000,1,2.888039e-02
3,4000,2,2.839682e-02
3,4000,3,4.022979e-02
3,4000,4,2.073648e-02
3,4000,5,1.409854e-02
3,4000,6,7.293384e-03
3,4000,7,5.363622e-02
3,4000,8,1.544298e-02
3,4000,9,1.253409e-03
3,8000,0,3.263819e-03
3,8000,1,3.634874e-02
3,8000,2,4.107466e-03
3,8000,3,2.149148e-02
3,8000,4,8.753317e-03
3,8000,5,7.391434e-03
3,8000,6,2.534079e-02
3,8000,7,6.274507e-03
3,8000,8,1.683875e-02
3,8000,9,1.138979e-02
3,16000,0,1.208117e-03
3,16000,1,7.994197e-03
3,16000,2,6.123527e-03
3,16000,3,6.701363e-03
3,16000,4,1.157147e-02
3,16000,5,1.491312e-02
3,16000,6,5.971473e-03
3,16000,7,5.112981e-03
3,16000,8,7.049586e-03
3,16000,9,6.991989e-03
3,32000,0,6.384293e-03
3,32000,1,6.845157e-03
3,32000,2,1.262502e-02
3,32000,3,4.828957e-03
3,32000,4,7.642812e-03
3,32000,5,6.614308e-03
3,32000,6,7.538848e-03
3,32000,7,1.183572e-02
3,32000,8,5.672697e-03
3,32000,9,1.484683e-04
3,64000,0,6.025194e-04
3,64000,1,1.530262e-03
3,64000,2,2.802023e-03
3,64000,3,3.728316e-04
3,64000,4,6.086931e-04
3,64000,5,7.661075e-03
3,64000,6,3.544561e-05
3,64000,7,4.762353e-05
3,64000,8,7.639865e-04
3,64000,9,6.209094e-03
3,100000,0,3.088928e-03
3,100000,1,1.242084e-03
3,100000,2,1.212783e-02
3,100000,3,5.563973e-04
3,100000,4,9.369029e-03
3,100000,5,5.098414e-03
3,100000,6,5.513378e-03
3,100000,7,1.456907e-03
3,100000,8,5.376640e-03
3,100000,9,4.544310e-03
2,2000,0,4.297445e-02
2,2000,1,2.810462e-02
2,2000,2,1.961518e-02
2,2000,3,7.842747e-02
2,2000,4,3.021337e-02
2,2000,5,4.453249e-02
2,2000,6,1.693284e-02
2,2000,7,1.719650e-02
2,2000,8,5.339477e-03
2,2000,9,1.744567e-02
2,4000,0,2.288114e-02
2,4000,1,1.000300e-02
2,4000,2,2.184317e-02
2,4000,3,5.012779e-03
2,4000,4,4.421216e-02
2,4000,5,3.696312e-02
2,4000,6,1.869745e-02
2,4000,7,3.616083e-02
2,4000,8,2.496302e-02
2,4000,9,2.432595e-04
2,8000,0,2.450846e-02
2,8000,1,2.033414e-02
2,8000,2,3.178660e-02
2,8000,3,5.321298e-03
2,8000,4,2.581150e-03
2,8000,5,1.765147e-02
2,8000,6,2.250876e-03
2,8000,7,1.790504e-02
2,8000,8,1.730592e-03
2,8000,9,1.281282e-04
2,16000,0,3.704160e-03
2,16000,1,2.205355e-02
2,16000,2,3.313524e-03
2,16000,3,1.111405e-03
2,16000,4,1.602117e-02
2,16000,5,4.266050e-03
2,16000,6,4.241205e-03
2,16000,7,1.407609e-02
2,16000,8,1.327479e-02
2,16000,9,5.148468e-03
2,32000,0,1.069133e-02
2,32000,1,9.965488e-03
2,32000,2,9.379553e-03
2,32000,3,7.049928e-03
2,32000,4,1.119098e-03
2,32000,5,2.817254e-02
2,32000,6,1.723417e-02
2,32000,7,4.000709e-04
2,32000,8,1.461952e-02
2,32000,9,8.400444e-03
2,64000,0,5.905214e-03
2,64000,1,5.017667e-03
2,64000,2,7.253347e-03
2,64000,3,1.009326e-02
2,64000,4,5.885758e-03
2,64000,5,1.193880e-02
2,64000,6,8.719218e-03
2,64000,7,1.462387e-02
2,64000,8,4.434451e-03
2,64000,9,2.010939e-03
2,100000,0,1.824670e-03
2,100000,1,3.539558e-03
2,100000,2,2.813206e-03
2,100000,3,1.915263e-03
2,100000,4,4.896256e-04
2,100000,5,1.124184e-02
2,100000,6,2.486791e-04
2,100000,7,2.189476e-04
2,100000,8,1.948613e-03
2,100000,9,1.718774e-03
1,2000,0,6.827508e-02
1,2000,1,9.402804e-03
