Degree,M,Trial,WeakError
3,2000,0,2.973980e-02
3,2000,1,2.905968e-02
3,2000,2,9.425731e-03
3,2000,3,7.714432e-02
3,2000,4,4.092334e-02
3,2000,5,5.462982e-02
3,2000,6,6.752636e-03
3,2000,7,1.527170e-02
3,2000,8,7.096229e-03
3,2000,9,5.198353e-03
3,4000,0,2.651666e-02
3,4000,1,8.355795e-04
3,4000,2,1.659769e-02
3,4000,3,2.667581e-02
3,4000,4,2.255348e-02
3,4000,5,1.275670e-02
3,4000,6,4.537560e-02
3,4000,7,6.681533e-03
3,4000,8,2.705917e-02
3,4000,9,8.641770e-03
3,8000,0,3.703595e-02
3,8000,1,1.369027e-03
3,8000,2,1.506017e-02
3,8000,3,9.368338e-03
3,8000,4,1.471846e-02
3,8000,5,2.893047e-02
3,8000,6,1.382079e-03
3,8000,7,2.572891e-02
3,8000,8,5.486913e-03
3,8000,9,2.000531e-02
3,16000,0,1.347053e-02
3,16000,1,1.029177e-02
3,16000,2,6.429849e-03
3,16000,3,6.529778e-03
3,16000,4,7.301775e-03
3,16000,5,2.948799e-02
3,16000,6,1.455927e-02
3,16000,7,3.583482e-03
3,16000,8,1.736634e-03
3,16000,9,8.726004e-03
3,32000,0,1.732624e-03
3,32000,1,9.983386e-04
3,32000,2,7.653666e-03
3,32000,3,2.754889e-03
3,32000,4,1.000952e-02
3,32000,5,7.648617e-03
3,32000,6,1.130777e-02
3,32000,7,1.359351e-03
3,32000,8,1.453263e-02
3,32000,9,5.662004e-03
3,64000,0,6.904423e-03
3,64000,1,7.190840e-03
3,64000,2,1.995990e-03
3,64000,3,7.158899e-03
3,64000,4,2.961002e-03
3,64000,5,9.725393e-03
3,64000,6,6.258865e-03
3,64000,7,3.362881e-03
3,64000,8,1.414555e-03
3,64000,9,1.219408e-02
3,100000,0,1.527960e-03
3,100000,1,4.119916e-03
3,100000,2,1.690028e-03
3,100000,3,6.109742e-03
3,100000,4,7.886268e-03
3,100000,5,8.926463e-03
3,100000,6,5.618966e-03
3,100000,7,9.641830e-03
